  INFO root [2018-09-03 18:54:23,565] - 
  INFO root [2018-09-03 18:54:23,566] - -----------------------------------------------------------------------------------------


  INFO root [2018-09-03 18:54:23,567] - Resmgr::initialize: KBE_ROOT=C:/Users/gdlcf/Desktop/Projects/kbengine/
  INFO root [2018-09-03 18:54:23,567] - Resmgr::initialize: KBE_RES_PATH=C:/Users/gdlcf/Desktop/Projects/kbengine/kbe/res/;C:/Users/gdlcf/Desktop/Projects/kbengine/getstarted_assets/;C:/Users/gdlcf/Desktop/Projects/kbengine/getstarted_assets/scripts/;C:/Users/gdlcf/Desktop/Projects/kbengine/getstarted_assets/res/
  INFO root [2018-09-03 18:54:23,567] - Resmgr::initialize: KBE_BIN_PATH=C:/Users/gdlcf/Desktop/Projects/kbengine/kbe/bin/server/
  INFO root [2018-09-03 18:54:23,572] - NetworkInterface::initialize(INTERNAL-TCP): bound to all interfaces with default route interface on 172.16.4.126 ( 172.16.4.126:58052 )
  INFO root [2018-09-03 18:54:23,572] - NetworkInterface::initialize(INTERNAL-TCP): address 172.16.4.126:58052, SOMAXCONN=5.
  INFO root [2018-09-03 18:54:23,580] - ---- tool Version: 2.2.4. ScriptVersion: 0.1.0. Protocol: 9C1FBCD6B66D4AFE644ABEDBFAC9B95A. Config: Debug X86. Built: 09:17:48 Aug 30 2018. AppID: 0. UID: 7964. PID: 11536 ----
  INFO root [2018-09-03 18:54:23,580] - Server : Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz with 2097151kB RAM
  INFO root [2018-09-03 18:54:23,581] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-09-03 18:54:23,581] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
 DEBUG root [2018-09-03 18:54:23,724] - Script::install_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-09-03 18:54:23,725] - Script::install_py_dlls(): PyInit__socket
 DEBUG root [2018-09-03 18:54:23,725] - Script::install_py_dlls(): PyInit__ssl
 DEBUG root [2018-09-03 18:54:23,728] - Script::install_py_dlls(): PyInit__hashlib
 DEBUG root [2018-09-03 18:54:23,729] - Script::install_py_dlls(): PyInit_select
 DEBUG root [2018-09-03 18:54:23,729] - Script::install_py_dlls(): PyInit__ctypes
 DEBUG root [2018-09-03 18:54:23,730] - Script::install_py_dlls(): PyInit__elementtree
 DEBUG root [2018-09-03 18:54:23,783] - Script::install_py_dlls(): PyInit_unicodedata
  INFO root [2018-09-03 18:54:23,837] - Script::install(): is successfully, Python=(3.4.2 (default, Aug 30 2018, 09:17:43) [MSC v.1900 32 bit (Intel)])!
  INFO root [2018-09-03 18:54:23,837] - Script::install(): KBExtra is successfully!
 DEBUG root [2018-09-03 18:54:24,621] - ClientSDK::writeServerErrorDescrsModule(): C:\Users\gdlcf\Desktop\Projects\kbengine\getstarted_assets\\..\unity3d\Assets\Plugins\kbengine\kbengine_unity3d_plugins//ServerErrorDescrs.cs
 DEBUG root [2018-09-03 18:54:24,624] - ClientSDK::saveFile(): C:\Users\gdlcf\Desktop\Projects\kbengine\getstarted_assets\\..\unity3d\Assets\Plugins\kbengine\kbengine_unity3d_plugins/ServerErrorDescrs.cs
 DEBUG root [2018-09-03 18:54:24,635] - ClientSDK::writeEngineMessagesModule(): C:\Users\gdlcf\Desktop\Projects\kbengine\getstarted_assets\\..\unity3d\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Messages.cs
 DEBUG root [2018-09-03 18:54:24,646] - ClientSDK::saveFile(): C:\Users\gdlcf\Desktop\Projects\kbengine\getstarted_assets\\..\unity3d\Assets\Plugins\kbengine\kbengine_unity3d_plugins/Messages.cs
 DEBUG root [2018-09-03 18:54:24,658] - ClientSDK::saveFile(): C:\Users\gdlcf\Desktop\Projects\kbengine\getstarted_assets\\..\unity3d\Assets\Plugins\kbengine\kbengine_unity3d_plugins/KBETypes.cs
 DEBUG root [2018-09-03 18:54:24,665] - ClientSDK::writeEntityDefsModule(): C:\Users\gdlcf\Desktop\Projects\kbengine\getstarted_assets\\..\unity3d\Assets\Plugins\kbengine\kbengine_unity3d_plugins//EntityDef.cs
